Account number | Holdername | Gender | Account balance
136754936121 | Anthony Hill | o | 2421.35
771350455726 | David Obrien | o | 3850.02
670691805992 | Barbara Welch | m | 8054.63
485683594134 | Jose Carver | m | 8636.58
753528517281 | Gertrude Howlin | f | 7582.25
409020780392 | Susan Becker | m | 9221.72
890505503539 | Robert Pinks | f | 3141.15
833445036140 | Esta Dearcos | o | 629.28
754763096493 | Terrance Armor | f | 8303.09
437300025283 | Evelyn Felker | o | 7463.58
553708632241 | Valentina Long | f | 7790.57
198027058827 | Joseph Schneider | f | 7854.2
846543570088 | Daniel Lewis | m | 4522.98
219762847430 | Angela Einhorn | m | 1317.73
169574228506 | Sandi Theobald | m | 6761.76
169656472667 | Christopher Deruyter | m | 7479.85
409362460257 | Debra Gomez | f | 2910.65
700759745615 | Jerome Drake | m | 2478.11
715698058772 | Barbara Wayman | o | 8075.81
816518748768 | James Smith | m | 3449.82
773083854825 | Amber Thomas | m | 681.28
295414070854 | Clark Mortenson | m | 6307.66
725185114323 | Nola Maobi | o | 9969.04
729335522698 | Mary Morrill | m | 7576.68
431205472084 | Leonardo Mcardle | f | 3339.97
844872424038 | Heather Smith | o | 9977.33
708929246217 | David Gaona | m | 1106.36
723406641286 | Dwight Ferrell | m | 7124.03
240104584672 | Bernard Waters | f | 3166.06
687580065753 | Sara Tillman | f | 4283.05
986163767946 | Michael King | f | 4665.35
278032231743 | Gina Harkness | f | 5241.06
715658700184 | Mark Wallace | m | 861.4
902125535031 | Esther Rohling | o | 943.72
440664844532 | Tom Ramsey | m | 199.14
732299033770 | Paulita Protain | o | 6616.93
783457094150 | Scott List | m | 2778.69
923861673881 | Samatha King | f | 6322.5
258216804257 | Mitzi Burge | o | 2168.09
704586947630 | Robert Easterwood | o | 1495.59
311049260361 | Bridget Nance | m | 8068.61
499632721950 | Edward Steed | m | 6012.17
708417412664 | Monica Branscomb | m | 1298.6
624958891530 | Lloyd King | f | 8283.73
652063623716 | Chester Brock | m | 7724.33
869314205261 | Juanita Glover | m | 9456.66
298633109465 | Sarah Dashnaw | f | 9226.34
641978010495 | Nellie Kennedy | f | 332.48
963345667218 | Tara Williams | m | 3188.97
699746070573 | Celestine Clark | f | 2170.82
391646377012 | Raymond Doering | o | 1829.46
749935330086 | Wendy Jennings | f | 2407.01
905120173576 | Robert Morris | f | 6617.53
944857250879 | Mathilde Bowman | m | 8005.26
954588801888 | John Becraft | f | 5740.78
852255702308 | Karen Robinson | o | 3308.21
976883390412 | Deidre Albrecht | o | 6592.01
481305902156 | Jane Titus | o | 9995.91
188626643391 | James Schroeder | m | 1735.0
478662517709 | Ashley Ransom | f | 9842.98
809269373563 | Conrad Santos | m | 7078.56
466780077997 | Cody Raby | m | 8749.33
843648880221 | Jessica Ek | f | 7317.97
736218247968 | Margaret Smithey | m | 7686.07
789185977232 | Karen Hawkins | m | 2672.95
622730296529 | Gary Patterson | o | 6511.86
394381794508 | Matthew Bogucki | f | 2299.99
854575842522 | James Will | o | 2601.89
411034817871 | Lisa Livingston | o | 2830.19
693319670045 | Harry Mccabe | f | 1083.45
625497462798 | Kevin Baker | o | 2593.46
525465453255 | Carla Jackson | m | 8912.11
330880536632 | Jack Kaufman | f | 379.55
976650776473 | Kristina Lyon | f | 7865.95
135487226597 | Bernardo Leland | m | 7918.02
418517180877 | Maricela Grady | f | 9423.1
355005466323 | Grace Allen | f | 4043.12
252522978772 | Teresa Lynch | f | 76.11
948143029771 | Anthony Mackey | m | 4548.53
903775630217 | Dexter Hoskins | o | 769.72
805412463096 | Dorothy Batchelder | f | 7919.79
374485610362 | Rita Humphrey | o | 4137.79
886093599061 | Anthony Barrios | o | 9070.64
966921958742 | Perry Holcomb | o | 9738.84
708491949474 | Eric Williams | o | 8221.21
329528475919 | Wanda Lee | m | 680.67
931482040351 | Nancy Matthews | o | 7148.43
347071588505 | Tyler Fernandes | o | 8776.41
958530965553 | Bernard Newton | o | 1599.03
232966989018 | Nicholas Cummings | f | 3071.18
896481490953 | John Greco | f | 9117.96
501610084263 | Alicia Fields | m | 4805.9
444640225497 | Sylvester Shippey | m | 5237.0
293069172457 | Louis George | f | 6406.23
817618373702 | Nadine Waller | o | 8257.77
976787747261 | Judith Spier | f | 1840.18
744268717448 | Mary Hernandez | o | 2787.92
528554265909 | Donna Heinzen | o | 8406.4
439009081912 | James Hankinson | f | 7935.83
816494125845 | Lorenzo Kemp | m | 3647.97
544339911416 | Melanie Tsang | m | 7852.8
236725301831 | Cheryl Olivas | f | 2589.4
578639526228 | Karen Jones | o | 1838.58
188023309162 | Richard Howard | f | 2141.0
843999323542 | Rickie Tice | m | 1804.2
991464903262 | Frederica Hicks | o | 7885.53
409946686390 | Robert Alvarez | m | 3490.41
362369777477 | Bruce Hastings | m | 7615.83
779135271771 | Joanna Parry | o | 8536.85
782246536532 | Art Lewis | f | 9627.6
965416398932 | Timothy Brzozowski | f | 718.63
710007073046 | Judith Barlage | o | 4333.98
601458744563 | Louise Anderson | f | 883.35
960928314236 | Amy Parkison | o | 7935.23
614723921216 | Malia Payne | m | 3412.15
868982541413 | Nelly Vicars | m | 5751.16
637409752029 | Henrietta Bailey | m | 4212.78
172019612011 | Kenneth Hartline | m | 1792.48
875862310092 | George Rutherford | m | 9662.31
440576797253 | Margaret Pfeiffer | f | 6772.28
630532239175 | Maryanne Johnson | m | 2627.25
737553181230 | Ernest Petersik | f | 9812.34
598470586885 | Brian Hawkins | o | 8819.29
994833953058 | Gregory Balliew | f | 2611.1
995006712659 | Kimberly Libby | f | 5605.05
156892100074 | Jessie Berger | m | 619.87
220821978113 | Hannah Sanchez | o | 4208.0
234921088102 | Marcos Baxter | m | 4398.51
868878900290 | Raye Gomez | o | 3032.41
406297918882 | Lisa Ross | o | 4704.29
988018466866 | Palma Hinsley | f | 4340.92
229513386822 | Mark Sims | m | 4813.03
691219498804 | Rosa Young | f | 9629.18
889735369197 | Deborah Conner | o | 7912.6
265351181857 | Jessica Johnson | f | 5101.15
130677966237 | Elizabeth Mullen | o | 8046.93
941251018705 | Edgar Gummer | f | 9813.7
858325950885 | James Ross | f | 8957.42
387380224211 | Alex Gibby | f | 6918.91
949694983308 | Lauren Garcia | o | 8524.01
970551026769 | Kathy Guillory | f | 3338.71
812892152187 | Linda Soto | m | 9851.64
926569539827 | Jessica Hernandez | f | 296.15
537701655176 | Helen Prieto | m | 7532.27
503311509043 | Inga Scott | m | 8919.35
388848701548 | Jesus Gabbard | m | 3566.11
224813245609 | Jerry Ellis | o | 9758.16
155023362227 | Daphne Washington | f | 5231.97
892873493316 | Marie Roback | o | 5498.07
151412013157 | Don Byrd | o | 8645.51
601914599550 | James Farney | m | 6574.2
997610112934 | Larry Fulton | o | 3162.68
506810171403 | Joseph Wadding | o | 4545.92
965630950387 | Paige Herms | m | 5142.25
197749880956 | Laurie Atherton | o | 7986.51
502903880007 | Charles Sorenson | m | 2577.26
135068082204 | William Bliss | f | 3519.63
821667941960 | Dwayne Martinez | o | 7399.69
453300243906 | Matthew Tucker | o | 8244.44
446034096584 | Robert Adams | o | 4460.41
226497621667 | Loretta Pitts | f | 7647.97
390063980668 | Rena Dover | f | 3970.35
747661971539 | Timothy Perry | o | 1194.94
357794879527 | Bruce Terrazas | f | 4551.25
715784196924 | Dorothy Kimball | f | 4104.05
812042705034 | Daniel Dell | f | 6554.48
350444525547 | William Esbenshade | m | 3989.04
606313739942 | Michael Morris | o | 3267.99
833580806220 | Yvonne Middlebrooks | m | 1382.63
220774569791 | Dennis Kama | f | 8526.57
872393322105 | Edwin Asher | o | 4592.08
461172539318 | Morton Gaskill | f | 1507.09
306945187246 | Kimberly Bryant | o | 7476.21
446905876461 | Elizabeth Matthews | m | 7773.16
899831865545 | Cheryl Hensley | f | 8635.75
856537331969 | Leona Lehmann | o | 2683.78
597160033131 | Richard Bullard | m | 5045.56
589705197366 | Rachel Jackson | m | 278.68
401294134583 | Mark Christian | o | 6361.4
952224483425 | Manuel Turner | f | 8705.36
612290352327 | Ashley Young | m | 4613.87
987270757920 | Debrah Tucker | f | 5750.42
802159034054 | Felicia Goldberg | m | 7783.37
959356438325 | Tyree Craig | m | 1837.89
650093199095 | Dorla Englehart | f | 2123.54
315849859401 | Jesus Schilling | f | 3552.21
288182061297 | Matthew Pena | o | 9697.97
799177163727 | Ronald Montgomery | o | 3776.63
405698967513 | Mary Holzer | m | 5724.68
806809643625 | Natasha Lam | f | 7447.94
582135378048 | Dane Trevino | o | 9603.93
394027707088 | Ivonne Garvey | f | 5560.34
837016438704 | Allen Colburn | m | 5835.34
443760757170 | John Hudgins | m | 7805.44
507976501253 | Neva Henning | o | 7516.19
289573151070 | Sarah Pineda | o | 2098.76
302434496362 | Madonna Granger | f | 8770.85
567452102893 | Marcia Trujillo | m | 1379.34
573341569477 | Ruby Via | f | 4598.2
826436936467 | Donald Powell | m | 3458.22
917021901205 | Janet Lopez | m | 2229.99
375425327863 | Judy Kruse | m | 3005.9
440088630460 | Jennifer Harper | f | 3188.38
226927378154 | Frank Fraley | o | 1413.11
773979519588 | Alfred Lancaster | m | 880.82
900505709903 | Robert Cantrelle | f | 8184.61
378486270882 | Nancy Struble | f | 1298.74
392367554848 | Larry Dun | o | 5652.05
766616173618 | Michael Arellano | o | 1099.94
423049992554 | Deborah Garcia | o | 7176.17
646085631305 | Goldie Christensen | m | 3381.32
609429687185 | Ian Massey | m | 8001.19
986217063245 | Carmelo Barnett | m | 9129.34
148362526990 | Janet Cisneros | m | 7130.88
601025304808 | Shirley Swan | f | 8287.45
543928050679 | Danny Diaz | f | 732.57
203160828157 | Donald Lamm | o | 1113.26
736387263789 | Danny Edelstein | o | 915.66
779025803573 | Mark Simonelli | f | 7875.82
379579699484 | Wm Gibson | m | 7281.39
181378988253 | Robert Abner | o | 1629.49
846960317682 | James Groner | m | 438.4
162394379946 | Joel Nystrom | o | 3003.95
602070213516 | Richard Hill | f | 3515.8
455120537069 | Charles Pyles | o | 462.74
742131453743 | Gladys Jackson | m | 6050.65
664224371043 | Williams Reed | m | 6078.13
910711423538 | Christine Diamond | m | 4891.1
884244964620 | Jennie Mcbee | m | 8064.6
675473900149 | Lorinda Hodgson | o | 9598.45
787764450091 | Katheryn Matas | o | 7598.57
269578171535 | Paula Robinson | o | 8272.9
155632298346 | Maureen Garza | o | 113.33
966996735879 | David Clayton | o | 4488.52
245507499320 | Mary Nutting | o | 5057.74
995057469815 | Debra Colapietro | o | 3177.93
330068157062 | Joe Dubicki | m | 1960.29
383197168722 | Frank Herrmann | f | 8549.84
963486509898 | Debra Kelley | m | 723.59
635013019252 | Kimberly Spicer | f | 7779.23
325924994083 | Michelle Ashley | o | 8421.52
146971713144 | Dustin Robertson | o | 1170.18
687602310005 | Derrick Barrette | f | 4456.64
944745819883 | Keith Bagwell | f | 8321.78
561795937382 | Harry Blackburn | m | 5910.67
657249906236 | Eileen Edwards | f | 3679.75
917250267896 | Ashley Garza | f | 1809.16
558108587234 | Robert Alvarez | f | 6767.98
753068076777 | Angela Thomas | m | 1940.49
245720032090 | Mary Rowe | o | 9818.15
230085227222 | Genevieve Ermitanio | m | 7508.52
901997575364 | Gary Timmerman | o | 5401.58
787281680906 | Julia Smith | m | 3797.12
474424810209 | Adam Gallardo | f | 4539.35
603409058827 | George Tavira | f | 6142.66
193519302703 | Courtney Blas | f | 5774.2
526020930945 | Ann Franklin | m | 1574.0
153285473599 | Shirley Little | f | 741.32
185735934734 | Victor Dale | f | 3070.03
894752991635 | Corey Tan | f | 7413.97
427247708868 | Kathryn Scott | o | 6960.61
659010554147 | Ray Solomon | m | 2838.25
859319214571 | Joann Snyder | f | 8861.49
788097672936 | David Hobson | o | 4666.89
741433607783 | Alvin Bergesen | f | 7559.57
612701294200 | Amanda Jones | m | 3580.55
521920895754 | Ryan Lopez | m | 6891.36
892649820651 | Harold Brownell | m | 5649.88
725377056491 | Thomas Pribbenow | o | 9230.93
357978446544 | Catherine Thompson | f | 4353.61
870039264114 | Megan Langlois | f | 5773.48
911119962927 | Melvina Goodman | f | 5189.55
834093957095 | Marina Kelling | m | 1797.76
796482422463 | Patricia Smith | o | 6198.07
959758774413 | Caroline Harris | m | 1650.26
536633842462 | Maribel Niceswander | o | 8498.08
380740473508 | Evelyn Wellenstein | f | 6147.43
661146649798 | Ryan Kim | f | 9050.79
443446426963 | Roosevelt Mason | m | 6211.31
684186424255 | Donald Cuningham | o | 8262.94
674002606697 | Timothy Vadenais | o | 7008.59
514471583167 | Roger Turnbull | f | 1422.03
178527494625 | Marilyn Jones | o | 4804.31
655211812580 | Maxine Chastain | o | 2688.64
715111207201 | Harvey Santana | m | 6794.07
370665531389 | Marcos Whitcomb | m | 8721.28
364732794453 | Patricia Worthington | f | 7645.26
684211279170 | Joseph Batchelor | o | 2904.5
633470539528 | Pamela Rickard | o | 1755.51
538514730242 | Lindsay Wallace | m | 1654.32
539361236746 | Shawn Gross | m | 4229.96
401963170847 | Betty Meachen | m | 8577.59
210055182989 | Lillian Peets | f | 6226.02
423256995507 | Roy Kennedy | f | 6198.67
747216850684 | Mary Rudd | m | 2328.66
304487667398 | Alphonse Avers | o | 4213.42
906885893520 | Dorotha Tracy | f | 2470.75
521225597318 | Kirk Patel | f | 3490.89
191948705340 | Michelle Rising | f | 9420.88
739257885912 | Bessie Arthur | f | 8759.83
377469015270 | Nicole Comer | o | 1891.26
864771730929 | Allison Kosiba | o | 3632.76
748314879087 | Chanda Abrams | f | 8124.24
799383202087 | Thomas Webb | m | 5300.74
910772067775 | Desiree Johnson | m | 6884.1
906512578127 | Tommy Orange | m | 2254.91
791146965248 | Mitchell Rolfe | f | 701.46
541199407107 | Tracy Stewart | f | 2122.88
917688688435 | Rolando Martinez | m | 2186.02
344495254898 | Stephen Tommolino | m | 5923.61
637976646115 | Robert Perng | o | 3058.09
621411153727 | Tony Allen | m | 767.46
968284113534 | Dianne Forbes | f | 4223.78
163368685350 | Alfonso Daniels | f | 3916.87
167231677925 | Brandy Zavala | f | 270.3
572885898617 | Michael Muldoon | m | 8386.18
485466802636 | Lois Jordan | o | 4222.41
311159433208 | Katherine Frierson | f | 5583.06
909759935557 | Michael Ensing | f | 3240.2
491219528175 | Amy Guerra | m | 3160.01
158675180101 | Angie Alford | m | 9590.32
518645356468 | Chris Brandly | f | 6004.38
166769409656 | Daniel Vinson | o | 9618.36
805772326407 | Glenda Squires | f | 9439.54
277013337591 | Jessie Johnson | m | 7470.58
279660290076 | Glenna Wilson | m | 1663.39
524471374816 | Gary Shaver | m | 2837.43
510704174608 | Albert Quintero | o | 60.41
372717467547 | Ralph Hazel | o | 2980.53
511259782403 | Amelia Converse | m | 1436.22
625387707983 | Elbert Campbell | f | 6459.86
661416982753 | George Melchor | m | 3322.06
434094970438 | Deborah Bray | o | 6170.09
170781957837 | Tanya Cisneros | f | 196.61
488993175270 | Isaac Tripp | o | 5390.35
985976594129 | Nora Pane | f | 457.32
338317158660 | Tracy Cancilla | o | 1536.78
517328908156 | Douglas Jack | f | 6167.14
380671183660 | Rudy Shaw | f | 8777.99
366928279258 | Larry Ferreri | o | 2204.54
894235388465 | Deana Hernandez | f | 9824.48
432322915392 | Deana Woods | m | 4418.1
785032374063 | Lakeisha Jackson | f | 6210.01
707192993026 | Jerrell Ballesteros | m | 3198.81
803681853373 | Marion Sparks | f | 8710.19
743190870824 | Troy Currie | m | 4936.47
734200190821 | Carson Howe | f | 1518.48
597431708422 | Valerie Russ | o | 403.0
776957700376 | Shirley Crawford | m | 2507.27
468141485590 | Scott Whiteman | m | 2074.68
994075996679 | Justin Johnson | o | 2576.92
404098675515 | Mike Kent | f | 388.3
635407467994 | Krystal Huskins | f | 9840.41
873551230930 | Jeffery Levine | o | 4604.54
994256622456 | William Krawiec | o | 6042.96
396177241074 | Robert Holt | o | 5916.82
786005130572 | Shannon Gregor | m | 7084.67
434467279177 | Sharon Truxillo | o | 2419.03
301469845623 | Johnny Duell | o | 310.55
913006030410 | Sheila Weatherill | m | 6566.68
812767897016 | David Peralta | o | 9376.53
804947291770 | Kenneth Gibbs | m | 7866.81
185375678522 | Carlos Morrison | m | 799.86
694878685199 | Thomas James | m | 7713.97
957587540588 | William Bourque | f | 8138.28
599222147230 | Cindi Rains | f | 8545.36
400879569148 | Brent Stevenson | o | 1079.2
966779267515 | Kevin Weiner | o | 9333.36
578271825414 | Lawrence Arnold | f | 2248.23
578282053115 | Donnette Rodriguez | m | 3354.63
903191579204 | Luis Ehret | m | 3971.31
511374868214 | James Towry | f | 3605.59
861522796397 | David Moore | m | 1515.79
371597788977 | John Boston | o | 55.01
654663500831 | Laurie Andrews | f | 2068.14
916169600636 | Margarito Arment | f | 2310.34
138208502646 | Doris Davis | o | 1401.96
614637990561 | William Jensen | m | 702.31
620953148393 | Linda Kosinski | f | 9290.15
578376856339 | Barbara Johnson | m | 6538.73
426055537327 | David Albrecht | m | 5872.65
201886661790 | Jennifer Altmann | f | 6907.67
961814460345 | Stephen Kauffman | m | 583.7
566860481301 | Holly Aquilar | m | 7089.17
497924879959 | Scott Baez | o | 1978.46
496025938387 | Anthony Sudbeck | f | 416.17
582350013160 | Brian Hull | o | 3432.32
611299583437 | Sally Deans | f | 1616.31
662780181552 | Charles Dalal | f | 4629.87
421623065892 | Everett Shain | f | 3824.72
647061899562 | Cedric Turner | m | 6402.22
452483860055 | Diane Sandifer | f | 9125.13
877117699506 | Linda Black | o | 7538.16
929360140445 | Emerson Stansbury | m | 4025.4
972294023979 | Gerald Koffman | m | 1236.95
933200128411 | Troy Yousef | m | 6768.15
344980848755 | Randy Aldrich | m | 6221.41
800591164411 | Dalia Atkins | o | 296.78
858117768766 | Willie Ellis | f | 9759.94
963775489821 | Raymond Wainer | f | 2721.59
861652965279 | Andrew Shepherd | o | 8204.78
980776082826 | Joshua Cornejo | m | 4394.87
413332575846 | Valerie Hull | f | 9137.56
776091286688 | Annette Williams | o | 4915.8
327274672040 | Glenn Torres | o | 8364.55
765482570084 | Wilmer Malone | f | 5927.4
900454922800 | Jerry Key | o | 776.15
937811325991 | Edward Walker | o | 2287.39
962901185902 | Joshua Aste | m | 4439.29
850336414107 | Ernest Koehl | f | 9620.84
390974399620 | Annie Thomas | m | 2435.65
408250393608 | Robert Vazquez | m | 9878.23
429403198094 | Sharon Reeves | m | 4141.31
351882089251 | Ana Rhea | m | 1522.37
170405578715 | Lydia Stoner | f | 4145.96
644256527733 | Timothy Thornton | o | 694.88
354083807513 | Bryan Burdick | o | 4179.83
526201760013 | Timothy Campos | m | 7350.05
129270215855 | Margaret Chamness | f | 7650.06
764711289512 | Timothy Lane | f | 4410.89
222274867250 | Robert Kempinski | o | 2207.73
720502492451 | Ruby Cook | o | 8339.58
642892259826 | Darrel Reper | m | 193.75
335687927511 | Mary Downs | f | 2906.3
835691428092 | Ryan Sharp | f | 6532.85
377752349587 | John Brown | o | 302.18
428856980576 | Wendy Stokes | o | 9204.83
521436044644 | Jay Fogle | o | 771.27
262569644682 | Rose Boivin | o | 6684.05
338295231886 | Lori Gregoire | o | 7522.72
735340278091 | Thomas Ortiz | o | 335.18
596284493852 | Edward Shaw | m | 3212.96
116162881854 | Cristobal Meikle | o | 1506.55
929704384067 | Terry Castillo | m | 8359.81
914073908156 | Barbara Moore | f | 8861.55
121258477409 | Derek Easley | o | 956.64
922859284392 | James Uhrin | o | 8680.74
987163454190 | Song Watson | m | 439.8
493733945817 | Arthur Nagel | f | 8257.28
641720266387 | Steven Posey | f | 2364.79
367441606333 | Troy Schwalbe | m | 5005.71
138796815397 | Mabel Mcallister | m | 3669.72
451440873682 | Ann Baker | m | 5773.76
848638270162 | Michael Rubio | f | 5190.3
560228825450 | Richard Mcintosh | f | 6323.39
298805918081 | Dorothy Booth | m | 9756.73
706834301911 | Jennifer Eury | m | 8073.72
870032457595 | Hazel Grasser | o | 2986.2
193713766888 | Elsie Gelormino | m | 5529.49
868063528041 | Alice Day | o | 2038.63
157262158513 | Travis Giles | m | 8960.64
955910851167 | Gilbert Thomas | m | 5686.81
411786012744 | Michael Odonnell | m | 4589.61
434903850600 | Ralph Buford | o | 710.12
193123403855 | Misty Ashpole | f | 5974.19
438287478467 | Michael Lake | o | 9759.91
319111486393 | Laura Dean | o | 8737.28
982707376008 | Catherine Alvarez | o | 4527.7
724820067283 | Florence Norwood | m | 1639.05
973510584547 | Angela Squires | f | 3013.81
448056735928 | Irene Williams | f | 4656.42
896526787406 | Dorothy Hanisch | o | 6023.06
893348745991 | Jennifer Augustin | f | 5863.43
792116842147 | Kristin Salles | m | 6208.83
215657362997 | Earnest Siegfried | f | 6073.0
275733728281 | Kenneth Kang | o | 9616.3
471986297322 | Damien Cabading | m | 987.37
758845645478 | Mary Guerrero | f | 7841.3
705694981910 | Ione Pursley | f | 4794.54
323340846315 | Dawn Stanley | f | 3536.57
711561100006 | Ralph Newberry | f | 5453.01
296221631108 | Mary Gilbert | m | 347.93
799227159859 | Brian Kriese | m | 6896.9
924970103084 | Jimmy Feaster | m | 806.93
378280318928 | Cynthia Walker | o | 6500.6
562277392178 | Donald Springer | f | 937.24
774728043232 | Maria Cochran | f | 1725.11
877006752388 | Maria Thomas | o | 5177.97
702105191594 | Robert Alvarado | f | 2746.67
642253246613 | Maria Hansen | f | 1294.35
446746090077 | Joe Srour | o | 5322.45
170572057834 | Robert Varner | f | 6821.11
746449177406 | Nicole Foreman | o | 396.56
471883911935 | Antwan Jones | f | 9069.52
838997338737 | David Johnson | m | 2275.79
890495850105 | Katherine Messer | o | 899.25
835796888746 | Kenneth Collins | m | 8932.86
479080481317 | Stefan Walsh | f | 6053.38
428584011844 | James Tackett | m | 477.55
199830340784 | Jerry Bosch | f | 376.19
562802437226 | Isiah Savage | m | 8156.06
947754197649 | Antoine Whitford | o | 2577.39
800484554815 | Kimberly Mcmillan | o | 5663.39
251698653866 | David Pavia | f | 9397.12
746716786472 | Kenneth Lambert | m | 6193.37
580024088876 | Constance Keenan | f | 7156.3
856193706653 | Kevin Cianchetti | o | 4655.8
589950207886 | Dorothy Kemp | f | 498.83
533646074732 | Ona Biggs | m | 7089.37
490069438587 | Loraine Holcomb | o | 5448.46
237747464346 | Marion Nielson | f | 86.63
889530584497 | Heather Lamay | f | 3345.17
960805994470 | Michael Cuen | o | 2562.34
386048521871 | Marie Porter | o | 2826.12
